chapter,title,url
1,"灵根育孕源流出　心性修持大道生",//guoxue.httpcn.com/html/book/TBMETBCQ/CQPWMEIL.shtml
2,"悟彻菩提真妙理　断魔归本合元神",//guoxue.httpcn.com/html/book/TBMETBCQ/CQPWMETB.shtml
3,"四海千山皆拱伏　九幽十类尽除名",//guoxue.httpcn.com/html/book/TBMETBCQ/CQPWMEXV.shtml
4,"官封弼马心何足　名注齐天意未宁",//guoxue.httpcn.com/html/book/TBMETBCQ/CQPWXVAZ.shtml
5,"乱蟠桃大圣偷丹　反天宫诸神捉怪",//guoxue.httpcn.com/html/book/TBMETBCQ/CQPWXVPW.shtml
6,"观音赴会问原因　小圣施威降大圣",//guoxue.httpcn.com/html/book/TBMETBCQ/CQPWXVIL.shtml
7,"八卦炉中逃大圣　五行山下定心猿",//guoxue.httpcn.com/html/book/TBMETBCQ/CQPWXVTB.shtml
8,"我佛造经传极乐　观音奉旨上长安",//guoxue.httpcn.com/html/book/TBMETBCQ/CQPWXVXV.shtml
9,"袁守诚妙算无私曲　老龙王拙计犯天条",//guoxue.httpcn.com/html/book/TBMETBCQ/CQPWRNAZ.shtml
10,"二将军宫门镇鬼　唐太宗地府还魂",//guoxue.httpcn.com/html/book/TBMETBCQ/CQPWRNPW.shtml
11,"还受生唐王遵善果　度孤魂萧瑀正空门",//guoxue.httpcn.com/html/book/TBMETBCQ/CQPWRNIL.shtml
12,"玄奘秉诚建大会　观音显象化金蝉",//guoxue.httpcn.com/html/book/TBMETBCQ/CQPWRNTB.shtml
13,"陷虎穴金星解厄　双叉岭伯钦留僧",//guoxue.httpcn.com/html/book/TBMETBCQ/CQPWRNXV.shtml
14,"心猿归正　六贼无踪",//guoxue.httpcn.com/html/book/TBMETBCQ/CQKOAZAZ.shtml
15,"蛇盘山诸神暗佑　鹰愁涧意马收缰",//guoxue.httpcn.com/html/book/TBMETBCQ/CQKOAZPW.shtml
16,"观音院僧谋宝贝　黑风山怪窃袈裟",//guoxue.httpcn.com/html/book/TBMETBCQ/CQKOAZIL.shtml
17,"孙行者大闹黑风山　观世音收伏熊罴怪",//guoxue.httpcn.com/html/book/TBMETBCQ/CQKOAZTB.shtml
18,"观音院唐僧脱难　高老庄行者降魔",//guoxue.httpcn.com/html/book/TBMETBCQ/CQKOAZXV.shtml
19,"云栈洞悟空收八戒　浮屠山玄奘受心经",//guoxue.httpcn.com/html/book/TBMETBCQ/CQKOCQAZ.shtml
20,"黄风岭唐僧有难　半山中八戒争先",//guoxue.httpcn.com/html/book/TBMETBCQ/CQKOCQPW.shtml
21,"护法设庄留大圣　须弥灵吉定风魔",//guoxue.httpcn.com/html/book/TBMETBCQ/CQKOCQIL.shtml
22,"八戒大战流沙河　木叉奉法收悟净",//guoxue.httpcn.com/html/book/TBMETBCQ/CQKOCQTB.shtml
23,"三藏不忘本　四圣试禅心",//guoxue.httpcn.com/html/book/TBMETBCQ/CQKOCQXV.shtml
24,"万寿山大仙留故友　五庄观行者窃人参",//guoxue.httpcn.com/html/book/TBMETBCQ/CQKOPWAZ.shtml
25,"镇元仙赶捉取经僧　孙行者大闹五庄观",//guoxue.httpcn.com/html/book/TBMETBCQ/CQKOPWPW.shtml
26,"孙悟空三岛求方　观世音甘泉活树",//guoxue.httpcn.com/html/book/TBMETBCQ/CQKOPWIL.shtml
27,"尸魔三戏唐三藏　圣僧恨逐美猴王",//guoxue.httpcn.com/html/book/TBMETBCQ/CQKOPWTB.shtml
28,"花果山群妖聚义　黑松林三藏逢魔",//guoxue.httpcn.com/html/book/TBMETBCQ/CQKOPWXV.shtml
29,"脱难江流来国土　承恩八戒转山林",//guoxue.httpcn.com/html/book/TBMETBCQ/CQKOKOAZ.shtml
30,"邪魔侵正法　意马忆心猿",//guoxue.httpcn.com/html/book/TBMETBCQ/CQKOKOPW.shtml
31,"猪八戒义激猴王　孙行者智降妖怪",//guoxue.httpcn.com/html/book/TBMETBCQ/CQKOKOIL.shtml
32,"平顶山功曹传信　莲花洞木母逢灾",//guoxue.httpcn.com/html/book/TBMETBCQ/CQKOKOTB.shtml
33,"外道迷真性　元神助本心",//guoxue.httpcn.com/html/book/TBMETBCQ/CQKOKOXV.shtml
34,"魔王巧算困心猿　大圣腾那骗宝贝",//guoxue.httpcn.com/html/book/TBMETBCQ/CQKOILAZ.shtml
35,"外道施威欺正性　心猿获宝伏邪魔",//guoxue.httpcn.com/html/book/TBMETBCQ/CQKOILPW.shtml
36,"心猿正处诸缘伏　劈破旁门见月明",//guoxue.httpcn.com/html/book/TBMETBCQ/CQKOILIL.shtml
37,"鬼王夜谒唐三藏　悟空神化引婴儿",//guoxue.httpcn.com/html/book/TBMETBCQ/CQKOILTB.shtml
38,"婴儿问母知邪正　金木参玄见假真",//guoxue.httpcn.com/html/book/TBMETBCQ/CQKOILXV.shtml
39,"一粒金丹天上得　三年故主世间生",//guoxue.httpcn.com/html/book/TBMETBCQ/CQKOUYAZ.shtml
40,"婴儿戏化禅心乱　猿马刀归木母空",//guoxue.httpcn.com/html/book/TBMETBCQ/CQKOUYPW.shtml
41,"心猿遭火败　木母被魔擒",//guoxue.httpcn.com/html/book/TBMETBCQ/CQKOUYIL.shtml
42,"大圣殷勤拜南海　观音慈善缚红孩",//guoxue.httpcn.com/html/book/TBMETBCQ/CQKOUYTB.shtml
43,"黑河妖孽擒僧去　西洋龙子捉鼍回",//guoxue.httpcn.com/html/book/TBMETBCQ/CQKOUYXV.shtml
44,"法身元运逢车力　心正妖邪度脊关",//guoxue.httpcn.com/html/book/TBMETBCQ/CQKOTBAZ.shtml
45,"三清观大圣留名　车迟国猴王显法",//guoxue.httpcn.com/html/book/TBMETBCQ/CQKOTBPW.shtml
46,"外道弄强欺正法　心猿显圣灭诸邪",//guoxue.httpcn.com/html/book/TBMETBCQ/CQKOTBIL.shtml
47,"圣僧夜阻通天水　金木垂慈救小童",//guoxue.httpcn.com/html/book/TBMETBCQ/CQKOTBTB.shtml
48,"魔弄寒风飘大雪　僧思拜佛履层冰",//guoxue.httpcn.com/html/book/TBMETBCQ/CQKOTBXV.shtml
49,"三藏有灾沉水宅　观音救难现鱼篮",//guoxue.httpcn.com/html/book/TBMETBCQ/CQKOMEAZ.shtml
50,"情乱性从因爱欲　神昏心动遇魔头",//guoxue.httpcn.com/html/book/TBMETBCQ/CQKOMEPW.shtml
51,"心猿空用千般计　水火无功难炼魔",//guoxue.httpcn.com/html/book/TBMETBCQ/CQKOMEIL.shtml
52,"悟空大闹金山兜洞　如来暗示主人公",//guoxue.httpcn.com/html/book/TBMETBCQ/CQKOMETB.shtml
53,"禅主吞餐怀鬼孕　黄婆运水解邪胎",//guoxue.httpcn.com/html/book/TBMETBCQ/CQKOMEXV.shtml
54,"法性西来逢女国　心猿定计脱烟花",//guoxue.httpcn.com/html/book/TBMETBCQ/CQKOXVAZ.shtml
55,"色邪淫戏唐三藏　性正修持不坏身",//guoxue.httpcn.com/html/book/TBMETBCQ/CQKOXVPW.shtml
56,"神狂诛草寇　道昧放心猿",//guoxue.httpcn.com/html/book/TBMETBCQ/CQKOXVIL.shtml
57,"真行者落伽山诉苦　假猴王水帘洞誊文",//guoxue.httpcn.com/html/book/TBMETBCQ/CQKOXVTB.shtml
58,"二心搅乱大乾坤　一体难修真寂灭",//guoxue.httpcn.com/html/book/TBMETBCQ/CQKOXVXV.shtml
59,"唐三藏路阻火焰山　孙行者一调芭蕉扇",//guoxue.httpcn.com/html/book/TBMETBCQ/CQKORNAZ.shtml
60,"牛魔王罢战赴华筵　孙行者二调芭蕉扇",//guoxue.httpcn.com/html/book/TBMETBCQ/CQKORNPW.shtml
61,"猪八戒助力败魔王　孙行者三调芭蕉扇",//guoxue.httpcn.com/html/book/TBMETBCQ/CQKORNIL.shtml
62,"涤垢洗心惟扫塔　缚魔归正乃修身",//guoxue.httpcn.com/html/book/TBMETBCQ/CQKORNTB.shtml
63,"二僧荡怪闹龙宫　群圣除邪获宝贝",//guoxue.httpcn.com/html/book/TBMETBCQ/CQKORNXV.shtml
64,"荆棘岭悟能努力　木仙庵三藏谈诗",//guoxue.httpcn.com/html/book/TBMETBCQ/CQILAZAZ.shtml
65,"妖邪假设小雷音　四众皆遭大厄难",//guoxue.httpcn.com/html/book/TBMETBCQ/CQILAZPW.shtml
66,"诸神遭毒手　弥勒缚妖魔",//guoxue.httpcn.com/html/book/TBMETBCQ/CQILAZIL.shtml
67,"拯救驼罗禅性稳　脱离秽污道心清",//guoxue.httpcn.com/html/book/TBMETBCQ/CQILAZTB.shtml
68,"朱紫国唐僧论前世　孙行者施为三折肱",//guoxue.httpcn.com/html/book/TBMETBCQ/CQILAZXV.shtml
69,"心主夜间修药物　君王筵上论妖邪",//guoxue.httpcn.com/html/book/TBMETBCQ/CQILCQAZ.shtml
70,"妖魔宝放烟沙火　悟空计盗紫金铃",//guoxue.httpcn.com/html/book/TBMETBCQ/CQILCQPW.shtml
